tid,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state
1751,1764,Rudolph's Red,American Amber / Red Ale,12.0 oz.,0.081,N/A,43,Rivertowne Brewing Company,Export,PA
1754,1101,Grateful White,Witbier,12.0 oz.,0.061,N/A,43,Rivertowne Brewing Company,Export,PA
1755,1100,RT Lager,American Amber / Red Lager,12.0 oz.,0.055,N/A,43,Rivertowne Brewing Company,Export,PA
176,1132,Misty Mountain IPA,American IPA,12.0 oz.,0.07,N/A,235,Back East Brewing Company,Bloomfield,CT
1763,363,Milkshake Stout,Milk / Sweet Stout,16.0 oz.,0.05,N/A,229,Rochester Mills Brewing Company,Rochester,MI
1767,1577,12th Round,American Strong Ale,16.0 oz.,0.076,78.0,376,RoughTail Brewing Company,Midwest City,OK
1773,1842,Original Slacker Ale,English Brown Ale,12.0 oz.,0.055999999999999994,40.0,164,Round Guys Brewing,Lansdale,PA
1778,1478,CAPT Black IPA,American Black Ale,12.0 oz.,0.073,55.0,397,Ruhstaller Beer Company,Sacramento,CA
1779,1370,Ruhstaller's Gilt Edge Lager Beer,American Amber / Red Lager,12.0 oz.,0.048,42.0,397,Ruhstaller Beer Company,Sacramento,CA
1789,1995,Oktoberfest,Märzen / Oktoberfest,12.0 oz.,0.055,N/A,30,SanTan Brewing Company,Chandler,AZ
1791,1329,I.W.A. (2011),American Pale Wheat Ale,12.0 oz.,0.06,N/A,30,SanTan Brewing Company,Chandler,AZ
1798,839,Rail Slide Imperial Spiced Ale,Herbed / Spiced Beer,12.0 oz.,0.081,N/A,30,SanTan Brewing Company,Chandler,AZ
1802,286,SanTan HefeWeizen (2010),Hefeweizen,12.0 oz.,0.05,15.0,30,SanTan Brewing Company,Chandler,AZ
1812,599,Santa Fe Irish Red Ale,Irish Red Ale,12.0 oz.,0.045,N/A,392,Santa Fe Brewing Company,Santa Fe,NM
1813,307,Santa Fe Oktoberfest,Märzen / Oktoberfest,12.0 oz.,,N/A,392,Santa Fe Brewing Company,Santa Fe,NM
1815,304,Freestyle Pilsner,German Pilsener,12.0 oz.,0.055,N/A,392,Santa Fe Brewing Company,Santa Fe,NM
1816,217,Happy Camper IPA,American IPA,12.0 oz.,0.066,N/A,392,Santa Fe Brewing Company,Santa Fe,NM
1820,1245,Schilling Hard Cider,Cider,12.0 oz.,0.065,N/A,394,Schilling & Company,Seattle,WA
1822,1323,Schlafly Black Lager,Schwarzbier,12.0 oz.,0.05,N/A,428,Schlafly Brewing Company,Saint Louis,MO
1824,1077,Schlafly American Brown Ale,American Brown Ale,12.0 oz.,0.05,30.0,428,Schlafly Brewing Company,Saint Louis,MO
1827,815,Sea Dog Wild Blueberry Wheat Ale,Fruit / Vegetable Beer,12.0 oz.,0.047,N/A,502,Sea Dog Brewing Company,Portland,ME
1828,1302,Blur India Pale Ale,American IPA,12.0 oz.,0.07400000000000001,60.0,432,Seabright Brewery,Santa Cruz,CA
1836,1766,Humulus Nimbus Super Pale Ale,American Pale Ale (APA),16.0 oz.,0.06,53.0,183,Seventh Son Brewing Company,Columbus,OH
1837,1765,Golden Ratio IPA,American IPA,16.0 oz.,0.07,68.0,183,Seventh Son Brewing Company,Columbus,OH
1838,2368,Black Hop IPA,American Black Ale,12.0 oz.,0.068,N/A,130,Shebeen Brewing Company,Wolcott,CT
1842,814,Pumpkinhead Ale,Pumpkin Ale,12.0 oz.,0.047,N/A,385,Shipyard Brewing Company,Portland,ME
1843,727,Shipyard Export,American Blonde Ale,12.0 oz.,0.051,N/A,385,Shipyard Brewing Company,Portland,ME
1845,2239,Torpedo,American IPA,12.0 oz.,0.07200000000000001,65.0,83,Sierra Nevada Brewing Company,Chico,CA
1846,1919,Yonder Bock,Maibock / Helles Bock,12.0 oz.,0.06,N/A,83,Sierra Nevada Brewing Company,Chico,CA
1847,1918,CANfusion Rye Bock,Rye Beer,12.0 oz.,0.06,N/A,83,Sierra Nevada Brewing Company,Chico,CA
1855,161,Red Mountain Ale,American Amber / Red Ale,12.0 oz.,0.06,N/A,551,Silverton Brewery,Silverton,CO
1862,1962,Sensi Harvest,American Pale Ale (APA),12.0 oz.,0.047,50.0,46,Sixpoint Craft Ales,Brooklyn,NY
1863,1696,Hi-Res,American Double / Imperial IPA,12.0 oz.,0.099,111.0,46,Sixpoint Craft Ales,Brooklyn,NY
187,1018,Sculpin IPA,American IPA,12.0 oz.,0.07,70.0,34,Ballast Point Brewing Company,San Diego,CA
1871,778,Brownstone,American Brown Ale,16.0 oz.,0.059000000000000004,47.0,46,Sixpoint Craft Ales,Brooklyn,NY
1872,630,Apollo,American Pale Wheat Ale,16.0 oz.,0.052000000000000005,11.0,46,Sixpoint Craft Ales,Brooklyn,NY
1878,424,Sweet Action (2011),Cream Ale,16.0 oz.,0.052000000000000005,34.0,46,Sixpoint Craft Ales,Brooklyn,NY
1879,423,Righteous Ale (2011),Rye Beer,16.0 oz.,0.063,57.0,46,Sixpoint Craft Ales,Brooklyn,NY
1885,1192,Vernal Minthe Stout,American Stout,12.0 oz.,0.057999999999999996,N/A,264,Ska Brewing Company,Durango,CO
1889,70,True Blonde Ale,American Blonde Ale,12.0 oz.,0.053,N/A,264,Ska Brewing Company,Durango,CO
1892,67,Modus Hoperandi,American IPA,12.0 oz.,0.068,65.0,264,Ska Brewing Company,Durango,CO
19,1593,He Said Baltic-Style Porter,Baltic Porter,12.0 oz.,0.08199999999999999,N/A,368,21st Amendment Brewery,San Francisco,CA
1903,926,Sly Fox Christmas Ale 2012 (2012),Winter Warmer,12.0 oz.,0.055,16.0,371,Sly Fox Brewing Company,Pottstown,PA
1904,894,Odyssey Imperial IPA,American Double / Imperial IPA,12.0 oz.,0.084,90.0,371,Sly Fox Brewing Company,Pottstown,PA
1906,24,113 IPA,American IPA,12.0 oz.,0.07,113.0,371,Sly Fox Brewing Company,Pottstown,PA
1910,20,Phoenix Pale Ale,American Pale Ale (APA),12.0 oz.,0.051,40.0,371,Sly Fox Brewing Company,Pottstown,PA
1912,2406,Murphy's Law,American Amber / Red Ale,12.0 oz.,0.057999999999999996,35.0,115,Smartmouth Brewing Company,Norfolk,VA
1917,407,OB-1 Organic Ale,English Brown Ale,12.0 oz.,0.05,22.0,191,Snake River Brewing Company,Jackson,WY
1919,402,Snake River Pale Ale,American Pale Ale (APA),12.0 oz.,0.052000000000000005,32.0,191,Snake River Brewing Company,Jackson,WY
192,2005,Barrio Blanco,American IPA,12.0 oz.,0.06,60.0,251,Barrio Brewing Company,Tucson,AZ
1920,393,Pako’s EyePA,American IPA,12.0 oz.,0.068,60.0,191,Snake River Brewing Company,Jackson,WY
1934,1150,Woolybugger Wheat,American Pale Wheat Ale,12.0 oz.,0.046,12.0,309,Sockeye Brewing Company,Boise,ID
1936,995,Winterfest,American Strong Ale,16.0 oz.,0.084,90.0,309,Sockeye Brewing Company,Boise,ID
1940,1970,6 String Saison,Saison / Farmhouse Ale,16.0 oz.,0.08,N/A,257,South Austin Brewery,South Austin,TX
1943,1283,Na Zdraví Pilsner,Czech Pilsener,16.0 oz.,0.048,32.0,436,Southern Oregon Brewing Company,Medford,OR
1946,2346,Sinister Minister Black IPA,American IPA,16.0 oz.,0.077,65.0,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
1948,2297,Devil's Harvest Extra Pale Ale,American Pale Ale (APA),12.0 oz.,0.057999999999999996,60.0,133,Southern Prohibition Brewing Com...,Hattiesburg,MS
195,2323,Ultra Gnar Gnar IPA,American IPA,12.0 oz.,0.067,60.0,116,Base Camp Brewing Co.,Portland,OR
1956,1740,Le Mort Vivant,Bière de Garde,12.0 oz.,0.069,23.0,118,Southern Star Brewing Company,Conroe,TX
1957,1728,Red Cockaded Ale,American Double / Imperial IPA,12.0 oz.,0.085,110.0,118,Southern Star Brewing Company,Conroe,TX
1961,856,Bombshell Blonde,American Blonde Ale,16.0 oz.,0.05,20.0,118,Southern Star Brewing Company,Conroe,TX
1967,44,Bombshell Blonde,American Blonde Ale,12.0 oz.,0.05,20.0,118,Southern Star Brewing Company,Conroe,TX
1968,2486,Baby Daddy Session IPA,American IPA,12.0 oz.,0.047,35.0,78,Speakasy Ales & Lagers,San Francisco,CA
197,2188,Lost Meridian Wit,Witbier,12.0 oz.,0.05,20.0,116,Base Camp Brewing Co.,Portland,OR
1971,2206,Bitter Biker Double IPA,American Double / Imperial IPA,16.0 oz.,0.096,N/A,175,Spiteful Brewing Company,Chicago,IL
1974,2134,Angry Adam,American Amber / Red Ale,16.0 oz.,0.06,N/A,175,Spiteful Brewing Company,Chicago,IL
1975,2109,Freedom Fries,American Stout,16.0 oz.,0.055,N/A,175,Spiteful Brewing Company,Chicago,IL
1981,1632,In the Weeds,American Pale Wheat Ale,12.0 oz.,0.055,N/A,175,Spiteful Brewing Company,Chicago,IL
1990,2386,Third Eye Enlightened Pale Ale,American Pale Ale (APA),12.0 oz.,0.065,65.0,119,Steamworks Brewing Company,Durango,CO
1994,2366,Point Special (Current),American Adjunct Lager,12.0 oz.,0.047,9.0,131,Stevens Point Brewery,Stevens Point,WI
2003,1450,St. Benedict's Winter Ale,Winter Warmer,12.0 oz.,0.062,N/A,131,Stevens Point Brewery,Stevens Point,WI
2009,650,Three Kings Ale,Kölsch,12.0 oz.,0.049,13.0,131,Stevens Point Brewery,Stevens Point,WI
201,1964,Stargrazer,Schwarzbier,12.0 oz.,0.05,28.0,258,Bauhaus Brew Labs,Minneapolis,MN
2014,139,Point Amber Classic,American Amber / Red Lager,12.0 oz.,0.047,14.0,131,Stevens Point Brewery,Stevens Point,WI
2018,1631,Brontide,American Black Ale,12.0 oz.,0.05,N/A,255,Stillwater Artisanal Ales,Baltimore,MD
202,1963,Wonderstuff,German Pilsener,12.0 oz.,0.054000000000000006,48.0,258,Bauhaus Brew Labs,Minneapolis,MN
2021,1410,Sand Island Lighthouse,Kölsch,12.0 oz.,0.051,25.0,412,Straight to Ale,Huntsville,AL
2022,925,Lily Flagg Milk Stout,Milk / Sweet Stout,12.0 oz.,0.05,30.0,412,Straight to Ale,Huntsville,AL
2025,2233,American Lager,American Adjunct Lager,12.0 oz.,0.040999999999999995,8.0,129,Straub Brewery,St Mary's,PA
2026,2232,American Amber,American Amber / Red Lager,12.0 oz.,0.040999999999999995,8.0,129,Straub Brewery,St Mary's,PA
2027,2231,American Light,Light Lager,12.0 oz.,0.032,13.0,129,Straub Brewery,St Mary's,PA
2028,2352,Extra Pale Ale,American Pale Ale (APA),12.0 oz.,0.053,49.0,138,Summit Brewing Company,St Paul,MN
2034,2164,Cowbell,American Porter,16.0 oz.,0.054000000000000006,23.0,25,Sun King Brewing Company,Indianapolis,IN
2036,2084,PV Muckle (2013),Scotch Ale / Wee Heavy,16.0 oz.,0.083,23.0,25,Sun King Brewing Company,Indianapolis,IN
2049,1367,Bourbon Barrel Aged Timmie,Russian Imperial Stout,16.0 oz.,0.099,75.0,25,Sun King Brewing Company,Indianapolis,IN
2050,1366,Stupid Sexy Flanders,Flanders Oud Bruin,16.0 oz.,0.063,23.0,25,Sun King Brewing Company,Indianapolis,IN
2054,1127,Bourbon Barrel Wee Mac,Scottish Ale,16.0 oz.,0.054000000000000006,23.0,25,Sun King Brewing Company,Indianapolis,IN
206,954,Phantom Punch Winter Stout,Foreign / Export Stout,12.0 oz.,0.068,N/A,292,Baxter Brewing Company,Lewiston,ME
2064,532,Grapefruit Jungle (GFJ) (2011),American IPA,16.0 oz.,0.075,77.0,25,Sun King Brewing Company,Indianapolis,IN
2067,213,Wee Mac Scottish-Style Ale,Scottish Ale,16.0 oz.,0.054000000000000006,23.0,25,Sun King Brewing Company,Indianapolis,IN
208,707,Celsius Summer Ale (2012),American Pale Wheat Ale,12.0 oz.,0.047,N/A,292,Baxter Brewing Company,Lewiston,ME
2080,16,Bender,American Brown Ale,16.0 oz.,0.051,45.0,61,Surly Brewing Company,Brooklyn Center,MN
2083,13,CynicAle,Saison / Farmhouse Ale,16.0 oz.,0.067,33.0,61,Surly Brewing Company,Brooklyn Center,MN
209,533,Amber Road,American Amber / Red Ale,12.0 oz.,0.055,35.0,292,Baxter Brewing Company,Lewiston,ME
2091,2568,Take Two Pils,German Pilsener,12.0 oz.,0.055,35.0,49,SweetWater Brewing Company,Atlanta,GA
2094,1709,420 Extra Pale Ale,American Pale Ale (APA),12.0 oz.,0.054000000000000006,N/A,49,SweetWater Brewing Company,Atlanta,GA
2097,663,TailGate IPA,American IPA,24.0 oz.,0.05,44.0,449,TailGate Beer,San Diego,CA
2105,1736,Zombie Monkie,American Porter,16.0 oz.,0.062,35.0,45,Tallgrass Brewing Company,Manhattan,KS
2111,765,Buffalo Sweat,Milk / Sweet Stout,16.0 oz.,0.05,20.0,45,Tallgrass Brewing Company,Manhattan,KS
2113,595,8-Bit Pale Ale,American Pale Ale (APA),16.0 oz.,0.052000000000000005,N/A,45,Tallgrass Brewing Company,Manhattan,KS
2118,103,Tallgrass Ale,American Brown Ale,16.0 oz.,0.044000000000000004,22.0,45,Tallgrass Brewing Company,Manhattan,KS
2123,936,Loafin Bräu,Altbier,16.0 oz.,0.055,N/A,490,Tampa Bay Brewing Company,Tampa,FL
2125,2640,Peck's Porter,American Porter,16.0 oz.,0.065,35.0,7,Tapistry Brewing,Bridgman,MI
2130,827,Tempter IPA,American IPA,12.0 oz.,0.064,N/A,480,Telluride Brewing Company,Telluride,CO
2131,589,Bridal Veil Rye Pale Ale,American Pale Ale (APA),12.0 oz.,0.055,N/A,480,Telluride Brewing Company,Telluride,CO
2139,2116,Brutus,English India Pale Ale (IPA),12.0 oz.,0.071,69.0,215,Texian Brewing Co.,Richmond,TX
2142,1914,Beelzebub,American Double / Imperial Stout,16.0 oz.,0.08,N/A,272,The Alchemist,Waterbury,VT
2149,1197,Wagon Box Wheat Beer,American Pale Wheat Ale,12.0 oz.,0.059000000000000004,15.0,457,The Black Tooth Brewing Company,Sheridan,WY
2159,1562,Grandma's Pecan,English Brown Ale,16.0 oz.,0.069,34.0,33,The Dudes' Brewing Company,Torrance,CA
2164,2638,G. B. Russo’s Italian Pistachio Pale Ale,American Pale Ale (APA),16.0 oz.,0.052000000000000005,N/A,9,The Mitten Brewing Company,Grand Rapids,MI
2166,1277,CEO Stout,American Stout,16.0 oz.,0.059000000000000004,N/A,438,The Right Brain Brewery,Traverse City,MI
2167,1276,Will Power Pale Ale,American Pale Ale (APA),16.0 oz.,0.047,N/A,438,The Right Brain Brewery,Traverse City,MI
2168,1732,Curious Traveler Shandy,Shandy,12.0 oz.,0.044000000000000004,N/A,334,The Traveler Beer Company,Burlington,VT
2175,2317,Fivepine Chocolate Porter,American Porter,12.0 oz.,0.062,40.0,153,Three Creeks Brewing,Sisters,OR
2176,2316,Hoodoo Voodoo IPA,American IPA,12.0 oz.,0.062,82.0,153,Three Creeks Brewing,Sisters,OR
2180,2616,Pole Barn Stout,Oatmeal Stout,16.0 oz.,0.055,31.0,21,Three Pints Brewing,Martinsville,IN
219,2022,Winter White,Witbier,16.0 oz.,0.05,N/A,76,Bell's Brewery,Kalamazoo,MI
2192,951,Alloy,American IPA,16.0 oz.,0.057999999999999996,36.0,17,Tin Man Brewing Company,Evansville,IN
2194,949,3 Gear Robust Porter,American Porter,16.0 oz.,0.052000000000000005,50.0,17,Tin Man Brewing Company,Evansville,IN
220,1989,Oberon,American Pale Wheat Ale,16.0 oz.,0.057999999999999996,N/A,76,Bell's Brewery,Kalamazoo,MI
2200,529,Tin Roof Blonde Ale,American Blonde Ale,12.0 oz.,0.045,18.0,152,Tin Roof Brewing Company,Baton Rouge,LA
2202,494,Perfect Tin Amber,American Amber / Red Ale,12.0 oz.,0.045,28.0,152,Tin Roof Brewing Company,Baton Rouge,LA
2203,1856,IPA & a Half,American IPA,12.0 oz.,0.073,87.0,291,Tommyknocker Brewery,Idaho Springs,CO
2205,1027,Big Island Shandy,Shandy,16.0 oz.,0.05,N/A,474,Tonka Beer Company,Minnetonka,MN
2206,1026,Preservation IPA,American IPA,16.0 oz.,0.068,N/A,474,Tonka Beer Company,Minnetonka,MN
2207,1938,Almanac IPA,American IPA,12.0 oz.,0.062,72.0,265,Tractor Brewing Company,Albuquerque,NM
2210,594,Triangle India Pale Ale,American IPA,12.0 oz.,0.057,N/A,524,Triangle Brewing Company,Durham,NC
2215,2203,Sunshine Pils,American Pilsner,12.0 oz.,0.045,45.0,97,Tröegs Brewing Company,Hershey,PA
222,1955,Best Brown,American Brown Ale,16.0 oz.,0.057999999999999996,N/A,76,Bell's Brewery,Kalamazoo,MI
223,2558,Moar,English India Pale Ale (IPA),12.0 oz.,0.044000000000000004,44.0,53,Bent Brewstillery,Roseville,MN
2232,505,Evolutionary IPA (2011),American IPA,12.0 oz.,0.062,70.0,190,Two Beers Brewing Company,Seattle,WA
2246,1285,No Limits Hefeweizen,Hefeweizen,16.0 oz.,0.05,N/A,435,Two Roads Brewing Company,Stratford,CT
2248,1171,Road 2 Ruin Double IPA,American Double / Imperial IPA,12.0 oz.,0.07200000000000001,N/A,435,Two Roads Brewing Company,Stratford,CT
2253,1925,Trader Session IPA,American IPA,12.0 oz.,0.04,42.0,159,Uinta Brewing Company,Salt Lake City,UT
2257,1089,Hop Notch IPA (2013),American IPA,12.0 oz.,0.073,82.0,159,Uinta Brewing Company,Salt Lake City,UT
2259,974,WYLD Extra Pale Ale,American Pale Ale (APA),12.0 oz.,0.04,29.0,159,Uinta Brewing Company,Salt Lake City,UT
2268,347,Golden State Ale,Belgian Pale Ale,16.0 oz.,0.064,N/A,522,Uncommon Brewers,Santa Cruz,CA
2269,346,Baltic Porter,Baltic Porter,16.0 oz.,0.078,N/A,522,Uncommon Brewers,Santa Cruz,CA
227,2410,Harness the Winter,American IPA,12.0 oz.,0.07200000000000001,87.0,75,Bent Paddle Brewing Company,Duluth,MN
2274,582,Balt Altbier,Altbier,12.0 oz.,0.06,N/A,71,Union Craft Brewing,Baltimore,MD
2275,2190,Campside Session IPA,American IPA,16.0 oz.,0.045,50.0,202,Upland Brewing Company,Bloomington,IN
2277,1950,Dragonfly IPA,American IPA,16.0 oz.,0.06,N/A,202,Upland Brewing Company,Bloomington,IN
2280,2563,Lee Hill Series Vol. 2 - Wild Saison,American Wild Ale,19.2 oz.,0.068,24.0,51,Upslope Brewing Company,Boulder,CO
2283,2560,Blood Orange Saison,Saison / Farmhouse Ale,12.0 oz.,0.06,N/A,51,Upslope Brewing Company,Boulder,CO
2287,907,Upslope Christmas Ale,Winter Warmer,16.0 oz.,0.08199999999999999,N/A,51,Upslope Brewing Company,Boulder,CO
2289,683,Upslope Belgian Style Pale Ale,Belgian Pale Ale,12.0 oz.,0.075,30.0,51,Upslope Brewing Company,Boulder,CO
229,1901,Bent Hop Golden IPA,American IPA,12.0 oz.,0.062,68.0,75,Bent Paddle Brewing Company,Duluth,MN
2294,80,Upslope Pale Ale,American Pale Ale (APA),12.0 oz.,0.057999999999999996,N/A,51,Upslope Brewing Company,Boulder,CO
23,976,Marooned On Hog Island,American Stout,12.0 oz.,0.079,N/A,368,21st Amendment Brewery,San Francisco,CA
2302,1682,Wasatch Ghostrider White IPA (2014),American White IPA,12.0 oz.,0.06,N/A,302,Utah Brewers Cooperative,Salt Lake City,UT
2306,2245,Nunica Pine,Cider,16.0 oz.,0.068,N/A,185,Vander Mill Ciders,Spring Lake,MI
2307,2244,Ginger Peach,Cider,16.0 oz.,0.069,N/A,185,Vander Mill Ciders,Spring Lake,MI
231,1253,Venture Pils,German Pilsener,12.0 oz.,0.05,38.0,75,Bent Paddle Brewing Company,Duluth,MN
2313,1769,White Magick of the Sun,Witbier,12.0 oz.,0.079,23.0,322,Voodoo Brewery,Meadville,PA
2315,1729,Gran Met,Belgian Strong Pale Ale,12.0 oz.,0.092,25.0,322,Voodoo Brewery,Meadville,PA
2326,908,Pumpkan,Pumpkin Ale,12.0 oz.,0.052000000000000005,20.0,295,Wachusett Brewing Company,Westminster,MA
2329,780,T-6 Red Ale (2004),American Amber / Red Ale,12.0 oz.,0.047,N/A,506,Warbird Brewing Company,Fort Wayne,IN
2331,2223,Ermal's,Cream Ale,16.0 oz.,0.054000000000000006,20.0,94,Warped Wing Brewing Company,Dayton,OH
2332,2222,10 Ton,Oatmeal Stout,16.0 oz.,0.07,N/A,94,Warped Wing Brewing Company,Dayton,OH
2333,2221,Flyin' Rye,American IPA,16.0 oz.,0.07,N/A,94,Warped Wing Brewing Company,Dayton,OH
2335,2356,Pay It Forward Cocoa Porter,American Porter,12.0 oz.,0.07,N/A,100,West Sixth Brewing,Lexington,KY
2340,576,White Thai,Witbier,12.0 oz.,0.05,16.0,384,Westbrook Brewing Company,Mt. Pleasant,SC
2342,1645,Westfield Octoberfest,Märzen / Oktoberfest,12.0 oz.,0.057,22.0,351,Westfield River Brewing Company,Westfield,MA
2353,2572,Hop Session,American IPA,12.0 oz.,0.05,N/A,47,White Birch Brewing,Hooksett,NH
2354,2571,Blueberry Berliner Weisse,Berliner Weissbier,12.0 oz.,0.055,N/A,47,White Birch Brewing,Hooksett,NH
2358,1837,Hefe Black,Hefeweizen,12.0 oz.,0.049,30.0,296,Widmer Brothers Brewing Company,Portland,OR
2359,1836,Widmer Brothers Hefeweizen,Hefeweizen,12.0 oz.,0.049,30.0,296,Widmer Brothers Brewing Company,Portland,OR
2367,366,Jack Stout,Oatmeal Stout,12.0 oz.,0.06,23.0,361,Wild Onion Brewing Company,Lake Barrington,IL
2371,1318,Wild Wolf Wee Heavy Scottish Style Ale,Scotch Ale / Wee Heavy,12.0 oz.,0.057,20.0,181,Wild Wolf Brewing Company,Nellysford,VA
2375,825,Bodacious Bock,Bock,16.0 oz.,0.075,N/A,499,Wildwood Brewing Company,Stevensville,MT
2383,2147,#003 Brown & Robust Porter,American Porter,12.0 oz.,0.052000000000000005,N/A,211,Wisconsin Brewing Company,Verona,WI
2391,1468,Wolverine Premium Lager,American Pale Lager,12.0 oz.,0.047,15.0,402,Wolverine State Brewing Company,Ann Arbor,MI
2394,2306,Summer Brew,American Pilsner,12.0 oz.,0.027999999999999997,15.0,109,"Woodstock Inn, Station & Brewery",North Woodstock,NH
2396,2194,Worthy IPA,American IPA,12.0 oz.,0.069,69.0,199,Worthy Brewing Company,Bend,OR
2401,1345,Patty's Chile Beer,Chile Beer,12.0 oz.,0.042,N/A,424,Wynkoop Brewing Company,Denver,CO
2404,1035,Rocky Mountain Oyster Stout,American Stout,12.0 oz.,0.075,N/A,424,Wynkoop Brewing Company,Denver,CO
2405,928,Belgorado,Belgian IPA,12.0 oz.,0.067,45.0,424,Wynkoop Brewing Company,Denver,CO
2409,84,Rail Yard Ale (2009),American Amber / Red Ale,12.0 oz.,0.052000000000000005,N/A,424,Wynkoop Brewing Company,Denver,CO
241,1422,West Portal Colorado Common Summer Ale,California Common / Steam Beer,16.0 oz.,0.040999999999999995,N/A,220,Big Choice Brewing,Broomfield,CO
246,2639,Dark Star,American Stout,16.0 oz.,0.08,54.0,8,Big Lake Brewing,Holland,MI
248,2586,Blueberry Blonde,Fruit / Vegetable Beer,12.0 oz.,0.06,N/A,40,Big Muddy Brewing,Murphysboro,IL
249,2585,Galaxy IPA,American IPA,16.0 oz.,0.075,60.0,40,Big Muddy Brewing,Murphysboro,IL
250,643,Big River Pilsner,Czech Pilsener,12.0 oz.,0.05,32.0,519,Big River Brewing Company,Chattanooga,TN
251,632,House Brand IPA,American IPA,12.0 oz.,0.06,55.0,519,Big River Brewing Company,Chattanooga,TN
255,1711,Moose Drool Brown Ale,American Brown Ale,12.0 oz.,0.051,26.0,336,Big Sky Brewing Company,Missoula,MT
256,1456,Powder Hound Winter Ale,English Strong Ale,12.0 oz.,0.07200000000000001,60.0,336,Big Sky Brewing Company,Missoula,MT
257,767,Moose Drool Brown Ale (2011),American Brown Ale,12.0 oz.,0.051,26.0,336,Big Sky Brewing Company,Missoula,MT
264,2096,Arcus IPA,American IPA,12.0 oz.,0.069,81.0,221,Big Storm Brewing Company,Odessa,FL
269,986,Morning Wood,Oatmeal Stout,16.0 oz.,0.055,35.0,444,Big Wood Brewery,Vadnais Heights,MN
27,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0 oz.,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA
270,985,Bark Bite IPA,American IPA,16.0 oz.,0.066,50.0,444,Big Wood Brewery,Vadnais Heights,MN
274,1411,Sawtooth Ale,American Blonde Ale,12.0 oz.,0.054000000000000006,N/A,407,Bitter Root Brewing,Hamilton,MT
28,799,21st Amendment IPA (2006),American IPA,12.0 oz.,0.07,70.0,368,21st Amendment Brewery,San Francisco,CA
282,1848,American Red Saison,Saison / Farmhouse Ale,12.0 oz.,0.078,34.0,294,Black Shirt Brewing Company,Denver,CO
296,1320,Last Call Imperial Amber Ale,American Amber / Red Ale,12.0 oz.,0.08,N/A,380,Blue Blood Brewing Company,Lincoln,NE
297,1319,Pernicious Double IPA,American Double / Imperial IPA,12.0 oz.,0.096,N/A,380,Blue Blood Brewing Company,Lincoln,NE
302,937,543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),12.0 oz.,0.045,N/A,380,Blue Blood Brewing Company,Lincoln,NE
303,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12.0 oz.,0.055999999999999994,37.0,380,Blue Blood Brewing Company,Lincoln,NE
306,611,834 Happy As Ale,American Pale Ale (APA),12.0 oz.,0.046,35.0,380,Blue Blood Brewing Company,Lincoln,NE
307,1372,Yellow Collar,Mead,12.0 oz.,0.059000000000000004,N/A,422,Blue Dog Mead,Eugene,OR
31,531,Special Edition: Allies Win The War!,English Strong Ale,12.0 oz.,0.085,52.0,368,21st Amendment Brewery,San Francisco,CA
311,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),12.0 oz.,0.065,30.0,382,Blue Mountain Brewery,Afton,VA
312,1545,Blue Mountain Classic Lager,Euro Pale Lager,12.0 oz.,0.053,22.0,382,Blue Mountain Brewery,Afton,VA
317,2488,Van Dayum!,American Amber / Red Ale,12.0 oz.,,N/A,77,Blue Owl Brewing,Austin,TX
32,432,Hop Crisis,American Double / Imperial IPA,12.0 oz.,0.09699999999999999,94.0,368,21st Amendment Brewery,San Francisco,CA
323,1607,Bohemian Export Lager,Dortmunder / Export Lager,12.0 oz.,0.06,N/A,364,Bohemian Brewery,Midvale,UT
324,1597,Altus Bohemes Altbier,Altbier,12.0 oz.,0.053,N/A,364,Bohemian Brewery,Midvale,UT
325,344,Cherny Bock,Schwarzbier,12.0 oz.,0.04,N/A,364,Bohemian Brewery,Midvale,UT
332,1890,Lucky Buck,Irish Dry Stout,16.0 oz.,0.04,34.0,281,Bolero Snort Brewery,Ridgefield Park,NJ
334,513,Bomb Lager (Old Recipe),Munich Helles Lager,12.0 oz.,0.045,27.0,525,Bomb Beer Company,New York,NY
336,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,16.0 oz.,0.075,22.0,107,Bonfire Brewing Company,Eagle,CO
338,1613,Gyptoberfest,Märzen / Oktoberfest,12.0 oz.,0.055999999999999994,26.0,107,Bonfire Brewing Company,Eagle,CO
344,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),12.0 oz.,0.048,38.0,107,Bonfire Brewing Company,Eagle,CO
346,1183,Kindler Pale Ale,American Pale Ale (APA),12.0 oz.,0.053,45.0,107,Bonfire Brewing Company,Eagle,CO
360,1310,Boston Lager,Vienna Lager,12.0 oz.,0.049,30.0,300,Boston Beer Company,Boston,MA
363,1143,Boston Lager,Vienna Lager,12.0 oz.,0.049,30.0,300,Boston Beer Company,Boston,MA
364,1395,Hazed & Infused,American Pale Ale (APA),12.0 oz.,0.049,35.0,417,Boulder Beer Company,Boulder,CO
